FromWeight;Temp;Factor;category;AvWeight
600;18;3.179;600--3000;1800
600;19;3.113;600--3000;1800
600;20;3.03;600--3000;1800
600;21;2.985;600--3000;1800
600;22;2.968;600--3000;1800
600;23;2.937;600--3000;1800
600;24;2.874;600--3000;1800
600;25;2.828;600--3000;1800
600;26;2.958;600--3000;1800
600;27;3.656;600--3000;1800
600;28;4.06;600--3000;1800
600;29;4.06;600--3000;1800
600;30;4.06;600--3000;1800
600;31;4.06;600--3000;1800
600;32;4.06;600--3000;1800
600;33;0;600--3000;1800
600;34;0;600--3000;1800
600;35;0;600--3000;1800
